ㄷㄱㅎㅈㄷㅀ > 강서유서 | 안녕하세요~^^
ㄷㄱㅎㅈㄷㅀ > 강서유서 | 초반에 통솔 74나와서 좋아햇는데 실패해서 72. ㅋ
강서유서 > ㄷㄱㅎㅈㄷㅀ | 네 안녕하세요^^
ㄷㄱㅎㅈㄷㅀ > 강서유서 | 근데 누구시더라...?
ㄷㄱㅎㅈㄷㅀ > 강서유서 | 오랜만에 체섭 들어와봐서 잊어버린. ㅋㅋ
강서유서 > ㄷㄱㅎㅈㄷㅀ | 아 혹시 이도형님이세요?
ㄷㄱㅎㅈㄷㅀ > 강서유서 | 그냥 강서유서라고 하쇼.
ㄷㄱㅎㅈㄷㅀ > 강서유서 | 그 진짜이름은 귀찮으니.. 건국하실거?
강서유서 > ㄷㄱㅎㅈㄷㅀ | 한동안 안 보이시길래 썼는데 요번기에 오실줄은 몰랐네요 죄송합니다. 건국은 안합니다
ㄷㄱㅎㅈㄷㅀ > 강서유서 | 히잉... 통솔 77....좋으시겟수...
ㄷㄱㅎㅈㄷㅀ > 강서유서 | ㅋㅋㅋㅋ.
ㄷㄱㅎㅈㄷㅀ > 강서유서 | 같은데 가봅시다.ㅋㅋ
강서유서 > ㄷㄱㅎㅈㄷㅀ | 임관금지국이라 선약말고는 안 받는 국이에요 ㅠㅠ 다음기회에 같이해요
ㄷㄱㅎㅈㄷㅀ > 강서유서 | 넹.. 이번에 선약 많이 문제가 됫던데. 지난기 때문에.
  박일아   >    부관    | 핥짝♥
   부관    >   박일아   | 부관을 핥으시면 안됩니다.
ㄷㄱㅎㅈㄷㅀ >   박일아   | 국명이 접속잘 안함국입니다.
ㄷㄱㅎㅈㄷㅀ >   박일아   | 마이너섭 리셋을 바랫엇습니다만 솔직히... 마이너 전부 에러라네요...
  박일아   > 그만좀불러좀 | 그만좀불러좀님~ 1턴 선정해주시고 1~6 농업 7~12 상업 부탁드려요!
  박일아   >    낭군    | 낭군님 1턴 선정 부탁드려요~
  박일아   >   ㅇωㅇ   | 이모티콘님~ 계시다면 뒤에 턴도 좀 넣어주실수 있을까요? ㅎㅎ
  박일아   >    검임    | 안녕하세요 검임님 ㅎㅎ 거병하시는줄 알았는데, 안하시는군여.. 혹시 선약 없으시다면 저희국에서 함께 해보실 생각은 없으신가요?
